name,cuisine,tags,calories,protein_g,carbs_g,fat_g,prep_time_min,cost_ghs,ingredients,instructions,image_url
Brown Rice Jollof with Grilled Chicken,West African,"high-fiber,high-protein,healthy",550,32,75,12,50,144.0,"[{""name"": ""Brown Rice"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 45.0}, {""name"": ""Chicken Breast"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 72.0}, {""name"": ""Tomato Paste"", ""qty"": 30, ""unit"": ""g"", ""cost_ghs"": 27.0}]",Cook brown rice in a spicy tomato and onion base. Serve with oven-grilled chicken breast and steamed vegetables.,/images/brown_rice_jollof.jpg
Hausa Koko and Koose,Ghanaian,"vegetarian,cheap,quick",400,14,70,8,20,77.0,"[{""name"": ""Millet"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 22.0}, {""name"": ""Cowpea flour"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 33.0}, {""name"": ""Spices"", ""qty"": 10, ""unit"": ""g"", ""cost_ghs"": 22.0}]",Boil fermented millet dough into a spicy porridge. Deep fry seasoned cowpea batter into fluffy bean cakes.,/images/koko_koose.jpg
Kokonte and Groundnut Soup,Ghanaian,"traditional,filling,low-fat",710,24,115,18,60,108.0,"[{""name"": ""Cassava flour"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Peanut Paste"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Chicken"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 45.0}]",Stir dried cassava flour in boiling water until brown and stretchy. Mix peanut paste with water and simmer with chicken and spices.,/images/kokonte_soup.jpg
Agushie Stew with Boiled Plantain,Ghanaian,"vegetarian,high-protein,traditional",610,22,85,24,45,99.0,"[{""name"": ""Melon seeds"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Plantain"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 45.0}, {""name"": ""Spinach"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 18.0}]",Steam grounded melon seeds into a tomato sauce until chunky. Serve with boiled green or ripe plantains.,/images/agushie_stew.jpg
Fante Fante and Boiled Yam,Ghanaian,"traditional,seafood,healthy",540,30,80,10,40,162.0,"[{""name"": ""Fresh Fish"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 90.0}, {""name"": ""Yam"", ""qty"": 250, ""unit"": ""g"", ""cost_ghs"": 45.0}, {""name"": ""Palm oil"", ""qty"": 10, ""unit"": ""ml"", ""cost_ghs"": 27.0}]",Simmer fresh fish in a light palm oil and tomato sauce without much stirring. Serve with sliced boiled yam.,/images/fante_fante.jpg
Grilled Guinea Fowl with Kachumbari,West African,"high-protein,low-carb,keto",480,45,10,28,45,195.0,"[{""name"": ""Guinea Fowl"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 150.0}, {""name"": ""Onions/Tomatoes"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 30.0}, {""name"": ""Suya Spice"", ""qty"": 10, ""unit"": ""g"", ""cost_ghs"": 15.0}]",Season guinea fowl with local spices and grill over charcoal. Serve with a fresh tomato and onion salad.,/images/guinea_fowl.jpg
Bambara Beans (Aboboi) and Plantain,West African,"vegan,high-fiber,cheap",590,20,105,9,120,88.0,"[{""name"": ""Bambara beans"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 33.0}, {""name"": ""Ripe plantain"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 33.0}, {""name"": ""Sugar/Salt"", ""qty"": 5, ""unit"": ""g"", ""cost_ghs"": 22.0}]",Boil bambara beans until very soft and slightly sweet. Serve as a mash with boiled or roasted ripe plantain.,/images/aboboi.jpg
Sweet Potato and Garden Egg Stew,Ghanaian,"vegetarian,healthy,high-fiber",460,12,85,8,40,88.0,"[{""name"": ""Sweet Potato"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 33.0}, {""name"": ""Garden Eggs"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 33.0}, {""name"": ""Onion/Pepper"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 22.0}]","Boil sweet potatoes. Sauté onions and peppers, add chopped garden eggs and simmer until soft for a healthy stew.",/images/garden_egg_potato.jpg
Akyeke with Grilled Tilapia,West African,"traditional,high-protein,seafood",650,38,75,20,45,165.0,"[{""name"": ""Akyeke"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 45.0}, {""name"": ""Tilapia"", ""qty"": 250, ""unit"": ""g"", ""cost_ghs"": 90.0}, {""name"": ""Avocado"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 30.0}]","Steam fermented cassava pulp (akyeke). Serve with seasoned grilled tilapia, fresh peppers, and avocado slices.",/images/akyeke_fish.jpg
Plantain Avocado Sourdough,International,"vegetarian,high-fiber,quick",420,10,55,18,15,153.0,"[{""name"": ""Sourdough Bread"", ""qty"": 2, ""unit"": ""slices"", ""cost_ghs"": 45.0}, {""name"": ""Avocado"", ""qty"": 1, ""unit"": ""medium"", ""cost_ghs"": 36.0}, {""name"": ""Ripe Plantain"", ""qty"": 1, ""unit"": ""finger"", ""cost_ghs"": 27.0}, {""name"": ""Honey"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 45.0}]",Toast bread and mash avocado with lime. Pan-fry plantains without oil. Assemble toast and top with plantains.,/images/plantain-avocado-toast.jpg
Kelewele Chickpea Bowl,West African,"vegan,high-protein,spicy",480,18,62,15,25,171.0,"[{""name"": ""Chickpeas"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 54.0}, {""name"": ""Ripe Plantain"", ""qty"": 2, ""unit"": ""fingers"", ""cost_ghs"": 54.0}, {""name"": ""Ginger"", ""qty"": 10, ""unit"": ""g"", ""cost_ghs"": 18.0}, {""name"": ""Spinach"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 45.0}]",Season plantains with ginger and pepper then air-fry. Sauté chickpeas with onions and spices. Mix with fresh spinach in a bowl.,/images/kelewele-chickpea-bowl.jpg
Groundnut Sweet Potato Stew,West African,"vegan,high-protein,traditional",550,20,70,22,40,165.0,"[{""name"": ""Sweet Potato"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 45.0}, {""name"": ""Peanut Butter"", ""qty"": 3, ""unit"": ""tbsp"", ""cost_ghs"": 60.0}, {""name"": ""Tomato Paste"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 22.0}, {""name"": ""Kale"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 38.0}]",Boil diced sweet potatoes until tender. Simmer peanut butter and tomato sauce with broth. Add potatoes and greens until thickened.,/images/peanut-sweet-potato.jpg
Quinoa Jollof with Tofu,International,"vegan,high-protein,low-carb-sub",510,25,58,16,45,240.0,"[{""name"": ""Quinoa"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 120.0}, {""name"": ""Firm Tofu"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 60.0}, {""name"": ""Tomato Puree"", ""qty"": 100, ""unit"": ""ml"", ""cost_ghs"": 30.0}, {""name"": ""Bell Peppers"", ""qty"": 1, ""unit"": ""whole"", ""cost_ghs"": 30.0}]",Cook quinoa in a spiced jollof tomato base. Pan-sear seasoned tofu cubes until crispy. Combine and garnish with peppers.,/images/quinoa-jollof.jpg
Kenkey and Shrimp Stir-fry,Ghanaian,"high-protein,seafood,fusion",460,28,52,12,30,217.0,"[{""name"": ""Fante Kenkey"", ""qty"": 0.5, ""unit"": ""ball"", ""cost_ghs"": 22.0}, {""name"": ""Shrimp"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 120.0}, {""name"": ""Carrots"", ""qty"": 2, ""unit"": ""whole"", ""cost_ghs"": 30.0}, {""name"": ""Soy Sauce"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 45.0}]","Dice kenkey into cubes and lightly toast. Stir-fry shrimp with ginger, garlic, and julienned carrots. Toss kenkey cubes into the pan to coat.",/images/kenkey-shrimp.jpg
Millet Berry Breakfast Bowl,West African,"vegetarian,quick,breakfast",380,12,68,8,15,126.0,"[{""name"": ""Millet"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Blueberries"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 54.0}, {""name"": ""Greek Yogurt"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Honey"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 9.0}]",Cook millet until creamy like porridge. Top with a dollop of yogurt and fresh berries. Drizzle with honey before serving.,/images/millet-breakfast.jpg
Suya Beef Tacos,International,"high-protein,fusion,quick",520,32,40,24,20,195.0,"[{""name"": ""Corn Tortillas"", ""qty"": 3, ""unit"": ""pcs"", ""cost_ghs"": 60.0}, {""name"": ""Beef Flank"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 90.0}, {""name"": ""Suya Spice"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 15.0}, {""name"": ""Cabbage Slaw"", ""qty"": 1, ""unit"": ""cup"", ""cost_ghs"": 30.0}]",Coat beef strips in suya spice and grill quickly. Warm tortillas and fill with beef. Top with fresh cabbage slaw and onions.,/images/suya-tacos.jpg
Cassava Gnocchi Marinara,International,"gluten-free,vegetarian",440,8,82,10,50,173.0,"[{""name"": ""Cassava Flour"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 45.0}, {""name"": ""Eggs"", ""qty"": 1, ""unit"": ""whole"", ""cost_ghs"": 15.0}, {""name"": ""Tomato Sauce"", ""qty"": 150, ""unit"": ""ml"", ""cost_ghs"": 75.0}, {""name"": ""Basil"", ""qty"": 5, ""unit"": ""leaves"", ""cost_ghs"": 38.0}]","Mix cassava flour and egg to form dough nuggets. Boil until they float, then toss in warm tomato sauce. Garnish with fresh basil.",/images/cassava-gnocchi.jpg
Grilled Grouper with Mango Salsa,International,"high-protein,low-fat,seafood",390,35,28,9,35,277.0,"[{""name"": ""Grouper Fillet"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 180.0}, {""name"": ""Mango"", ""qty"": 1, ""unit"": ""small"", ""cost_ghs"": 30.0}, {""name"": ""Lime"", ""qty"": 1, ""unit"": ""whole"", ""cost_ghs"": 15.0}, {""name"": ""Brown Rice"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 52.0}]","Grill seasoned fish fillet until flaky. Combine diced mango, onions, and lime for salsa. Serve over a bed of steamed brown rice.",/images/mango-fish.jpg
Brown Rice Waakye and Turkey,Ghanaian,"high-protein,traditional,healthy-swap",580,38,75,14,60,180.0,"[{""name"": ""Brown Rice"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 60.0}, {""name"": ""Black-eyed Peas"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 30.0}, {""name"": ""Turkey Breast"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 75.0}, {""name"": ""Waakye Leaves"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 15.0}]",Boil brown rice and beans with waakye leaves for color. Grill turkey breast with minimal oil. Serve with a side of steamed vegetables.,/images/healthy-waakye.jpg
Garden Egg Ratatouille,International,"vegan,low-calorie,vegetable-heavy",280,6,38,12,40,162.0,"[{""name"": ""Garden Eggs"", ""qty"": 4, ""unit"": ""whole"", ""cost_ghs"": 36.0}, {""name"": ""Zucchini"", ""qty"": 1, ""unit"": ""whole"", ""cost_ghs"": 54.0}, {""name"": ""Onion"", ""qty"": 1, ""unit"": ""whole"", ""cost_ghs"": 18.0}, {""name"": ""Olive Oil"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 54.0}]",Slice garden eggs and zucchini into thin rounds. Layer in a dish with spiced tomato reduction and bake. Drizzle with olive oil.,/images/garden-egg-ratatouille.jpg
Okra and Shrimp Zoodles,West African,"low-carb,high-protein,quick",340,30,15,18,20,210.0,"[{""name"": ""Zucchini"", ""qty"": 2, ""unit"": ""whole"", ""cost_ghs"": 75.0}, {""name"": ""Shrimp"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 90.0}, {""name"": ""Okra"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 30.0}, {""name"": ""Garlic"", ""qty"": 2, ""unit"": ""cloves"", ""cost_ghs"": 15.0}]",Spiralize zucchini into noodles. Sauté shrimp and chopped okra with garlic and chili. Toss in zoodles for 2 minutes and serve.,/images/okra-zoodles.jpg
Poached Eggs on Agege Toast,Ghanaian,"high-protein,breakfast,cheap",410,22,45,16,15,117.0,"[{""name"": ""Agege Bread"", ""qty"": 1, ""unit"": ""thick slice"", ""cost_ghs"": 27.0}, {""name"": ""Eggs"", ""qty"": 2, ""unit"": ""whole"", ""cost_ghs"": 36.0}, {""name"": ""Spinach"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Butter"", ""qty"": 5, ""unit"": ""g"", ""cost_ghs"": 18.0}]",Poach eggs in simmering water. Toast a thick slice of bread and top with sautéed spinach. Place eggs on top and season.,/images/agege-poached-egg.jpg
Yam Mash and Grilled Lobster,International,"high-protein,luxury,seafood",550,42,60,20,45,525.0,"[{""name"": ""Lobster Tail"", ""qty"": 1, ""unit"": ""whole"", ""cost_ghs"": 375.0}, {""name"": ""Pona Yam"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 60.0}, {""name"": ""Garlic Butter"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 45.0}, {""name"": ""Parsley"", ""qty"": 5, ""unit"": ""g"", ""cost_ghs"": 45.0}]",Boil and mash yam with a little milk and garlic. Grill lobster tail with herb butter. Serve mash with lobster and steamed greens.,/images/yam-lobster.jpg
Turkey and Black-eyed Pea Chili,International,"high-protein,budget,hearty",490,35,48,12,35,158.0,"[{""name"": ""Ground Turkey"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 75.0}, {""name"": ""Black-eyed Peas"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 30.0}, {""name"": ""Canned Tomatoes"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Chili Powder"", ""qty"": 1, ""unit"": ""tsp"", ""cost_ghs"": 15.0}]","Brown turkey in a pot with onions. Add pre-soaked beans, tomatoes, and spices. Simmer for 30 minutes until thick.",/images/turkey-pea-chili.jpg
Banku and Okro Stew,Ghanaian,"traditional, high-protein, fiber-rich",550,30,65,18,45,135.0,"[{""name"": ""Corn dough"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 14.0}, {""name"": ""Cassava dough"", ""qty"": 75, ""unit"": ""g"", ""cost_ghs"": 9.0}, {""name"": ""Okra"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Beef"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 54.0}, {""name"": ""Fish"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 22.0}]","Cook dough into banku. Sauté onions and tomatoes, add chopped okra and protein. Simmer until thickened.",/images/banku_okro_stew.jpg
Brown Rice Waakye,Ghanaian,"high-fiber, traditional, vegetarian-option",600,18,95,12,60,117.0,"[{""name"": ""Brown Rice"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Black-eyed beans"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Waakye leaves"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 9.0}, {""name"": ""Shito"", ""qty"": 20, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Egg"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 18.0}]",Boil beans with waakye leaves until soft. Add rice and cook until tender. Serve with shito and egg.,/images/brown_rice_waakye.jpg
Tuo Zaafi and Ayoyo Soup,Ghanaian,"traditional, low-fat, regional",480,25,70,10,40,126.0,"[{""name"": ""Corn flour"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 22.0}, {""name"": ""Ayoyo leaves"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Meat"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 63.0}, {""name"": ""Spices"", ""qty"": 1, ""unit"": ""set"", ""cost_ghs"": 14.0}]",Prepare corn swallow. Boil Ayoyo leaves with ground fish and meat. Combine and serve hot.,/images/tuo_zaafi.jpg
Omo Tuo and Groundnut Soup,Ghanaian,"traditional, high-protein, comfort-food",650,28,80,22,50,144.0,"[{""name"": ""Rice"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Peanut butter"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Chicken"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 63.0}, {""name"": ""Vegetables"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 9.0}]",Cook rice until very soft and mold into balls. Simmer peanut butter with chicken broth and spices.,/images/omo_tuo_groundnut.jpg
Mpo Tormporm (Yam Porridge),Ghanaian,"quick, vegetarian-option, cheap",420,10,85,6,30,90.0,"[{""name"": ""Yam"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Palm oil"", ""qty"": 10, ""unit"": ""ml"", ""cost_ghs"": 18.0}, {""name"": ""Onion"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 9.0}, {""name"": ""Smoked fish"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 27.0}]","Peel and dice yam. Boil with onions, palm oil, and fish until soft and mushy. Mash slightly.",/images/mpo_tormporm.jpg
Healthy Red Red,Ghanaian,"vegetarian, high-protein, fiber-rich",520,22,80,14,45,99.0,"[{""name"": ""Black-eyed beans"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Ripe plantain"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 45.0}, {""name"": ""Palm oil"", ""qty"": 10, ""unit"": ""ml"", ""cost_ghs"": 18.0}, {""name"": ""Tomato"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 9.0}]",Boil beans until soft. Air-fry plantain slices instead of deep frying. Sauté onions and mix with beans.,/images/healthy_red_red.jpg
Etɔ (Mashed Yam with Egg),Ghanaian,"traditional, quick, ceremonial",450,18,75,12,25,108.0,"[{""name"": ""Yam"", ""qty"": 250, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Peanuts"", ""qty"": 30, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Egg"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 27.0}, {""name"": ""Palm oil"", ""qty"": 10, ""unit"": ""ml"", ""cost_ghs"": 18.0}]",Boil yam and mash with a touch of palm oil. Top with roasted peanuts and hard-boiled eggs.,/images/eto_yam.jpg
Kokonte and Groundnut Soup,Ghanaian,"cheap, traditional, gluten-free",580,20,88,18,40,99.0,"[{""name"": ""Dried cassava flour"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Groundnut paste"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Dry fish"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Spices"", ""qty"": 1, ""unit"": ""set"", ""cost_ghs"": 9.0}]",Stir flour in boiling water to make kokonte. Simmer groundnut paste with fish and spices for the soup.,/images/kokonte_groundnut.jpg
Jollof Rice with Grilled Fish,West African,"popular, high-protein, balanced",620,35,75,16,60,150.0,"[{""name"": ""Rice"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Tilapia"", ""qty"": 250, ""unit"": ""g"", ""cost_ghs"": 75.0}, {""name"": ""Tomato paste"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 22.0}, {""name"": ""Oil"", ""qty"": 15, ""unit"": ""ml"", ""cost_ghs"": 15.0}]",Cook rice in a spiced tomato base. Season and grill tilapia separately. Serve with a side of salad.,/images/jollof_grilled_fish.jpg
Agushie Stew and Boiled Yam,Ghanaian,"traditional, high-protein, fiber-rich",540,24,70,20,45,135.0,"[{""name"": ""Melon seeds"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 45.0}, {""name"": ""Yam"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Spinach"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Mackerel"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}]","Boil yam. Sauté agushie with tomatoes, onions, and spinach. Add fish and simmer until set.",/images/agushie_stew_yam.jpg
Goat Light Soup,Ghanaian,"low-carb, keto-friendly, traditional",380,40,15,18,70,165.0,"[{""name"": ""Goat meat"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 120.0}, {""name"": ""Garden eggs"", ""qty"": 3, ""unit"": ""pcs"", ""cost_ghs"": 22.0}, {""name"": ""Tomato"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 15.0}, {""name"": ""Ginger"", ""qty"": 20, ""unit"": ""g"", ""cost_ghs"": 8.0}]",Steam goat meat with spices. Blend vegetables and strain into the pot. Boil until meat is tender.,/images/goat_light_soup.jpg
Brown Rice Jollof and Grilled Chicken,Ghanaian,"high-fiber, high-protein, healthy-choice",580,38,70,14,65,171.0,"[{""name"": ""Brown rice"", ""qty"": 180, ""unit"": ""g"", ""cost_ghs"": 54.0}, {""name"": ""Chicken breast"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 72.0}, {""name"": ""Tomato sauce"", ""qty"": 100, ""unit"": ""ml"", ""cost_ghs"": 27.0}, {""name"": ""Mixed veggies"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 18.0}]",Cook brown rice in tomato and pepper mix. Grill chicken breast with herbs. Serve together.,/images/brown_rice_chicken_jollof.jpg
Apapransa with Steamed Crab,Ghanaian,"traditional, seafood, regional",510,25,65,16,50,153.0,"[{""name"": ""Roasted corn flour"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Palm nut soup"", ""qty"": 200, ""unit"": ""ml"", ""cost_ghs"": 45.0}, {""name"": ""Crab"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 63.0}, {""name"": ""Anchovies"", ""qty"": 20, ""unit"": ""g"", ""cost_ghs"": 18.0}]",Mix corn flour into hot palm nut soup and stir until thick. Garnish with steamed crab and smoked fish.,/images/apapransa_crab.jpg
Hausa Koko and Soya Koose,West African,"breakfast, vegetarian, quick",350,15,60,8,20,88.0,"[{""name"": ""Millet dough"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 33.0}, {""name"": ""Soya beans flour"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 44.0}, {""name"": ""Ginger"", ""qty"": 5, ""unit"": ""g"", ""cost_ghs"": 11.0}]","Boil water and add millet paste to make porridge. Fry soya bean batter into small, high-protein cakes.",/images/hausa_koko_koose.jpg
Grilled Guinea Fowl and Stir-fry Veggies,Ghanaian,"low-carb, high-protein, regional",440,45,12,22,40,181.0,"[{""name"": ""Guinea fowl"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 135.0}, {""name"": ""Mixed bell peppers"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 30.0}, {""name"": ""Onions"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 8.0}, {""name"": ""Olive oil"", ""qty"": 5, ""unit"": ""ml"", ""cost_ghs"": 8.0}]",Season and grill guinea fowl until charred and tender. Quickly stir-fry vegetables with minimal oil.,/images/guinea_fowl_veggies.jpg
Waakye Quinoa Bowl,Ghanaian,"high-protein,fusion,healthy",450,22,65,12,35,153.0,"[{""name"": ""Quinoa"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 72.0}, {""name"": ""Kidney Beans"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Waakye leaves"", ""qty"": 1, ""unit"": ""bunch"", ""cost_ghs"": 18.0}, {""name"": ""Shito"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 36.0}]",Boil quinoa with waakye leaves for color. Stir in pre-cooked beans and serve with shito.,/images/waakye-quinoa.jpg
Grilled Jerk Chicken with Sweet Potato,International,"high-protein,spicy,healthy",520,35,45,18,40,165.0,"[{""name"": ""Chicken Breast"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 90.0}, {""name"": ""Sweet Potato"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Jerk Seasoning"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 22.0}, {""name"": ""Bell Peppers"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 15.0}]",Marinate chicken in jerk spices and grill. Roast sweet potato wedges until tender.,/images/jerk-chicken-potato.jpg
Peanut Butter Tofu Stir Fry,International,"vegetarian,high-protein,fusion",480,25,35,26,25,162.0,"[{""name"": ""Firm Tofu"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 81.0}, {""name"": ""Peanut Butter"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 27.0}, {""name"": ""Broccoli"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Soy Sauce"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 18.0}]",Press tofu and cube it. Stir fry with vegetables and a peanut-soy sauce.,/images/peanut-tofu-stirfry.jpg
Zucchini Noodle Garden Egg Pasta,International,"low-carb,fusion,vegetarian",320,10,22,20,20,135.0,"[{""name"": ""Zucchini"", ""qty"": 2, ""unit"": ""medium"", ""cost_ghs"": 54.0}, {""name"": ""Garden Eggs"", ""qty"": 4, ""unit"": ""pcs"", ""cost_ghs"": 27.0}, {""name"": ""Olive Oil"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 36.0}, {""name"": ""Garlic"", ""qty"": 2, ""unit"": ""cloves"", ""cost_ghs"": 18.0}]",Spiralize zucchini into noodles. Sauté garden eggs and garlic then toss with noodles.,/images/zucchini-garden-egg.jpg
Millet and Grilled Turkey Salad,West African,"high-protein,gluten-free,healthy",410,28,40,15,30,180.0,"[{""name"": ""Millet"", ""qty"": 80, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Turkey Breast"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 98.0}, {""name"": ""Cucumber"", ""qty"": 1, ""unit"": ""medium"", ""cost_ghs"": 22.0}, {""name"": ""Lemon juice"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 22.0}]",Cook millet until fluffy. Toss with grilled turkey strips and chopped cucumbers.,/images/millet-turkey-salad.jpg
Coconut Poached Red Snapper,Ghanaian,"high-protein,seafood,keto",460,32,10,32,25,217.0,"[{""name"": ""Red Snapper Fillet"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 120.0}, {""name"": ""Coconut Milk"", ""qty"": 150, ""unit"": ""ml"", ""cost_ghs"": 52.0}, {""name"": ""Ginger"", ""qty"": 10, ""unit"": ""g"", ""cost_ghs"": 15.0}, {""name"": ""Spinach"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 30.0}]",Simmer fish in coconut milk and ginger. Add spinach at the end to wilt.,/images/coconut-snapper.jpg
